id,num_of_passes,diffTime,average
1,100,3085,3085
2,100,3090,3087
3,100,3136,3103
4,100,3150,3115
5,100,3091,3110
6,100,3135,3114
7,100,3075,3108
8,100,3061,3102
9,100,3090,3101
10,100,3151,3106
11,100,3165,3111
12,100,3195,3118
13,100,3121,3118
14,100,3120,3118
15,100,3166,3122
16,100,3075,3119
17,100,3285,3128
18,100,3136,3129
19,100,3135,3129
20,100,3076,3126
21,100,3120,3126
22,100,3090,3124
23,100,3195,3127
24,100,3090,3126
25,100,3091,3124
26,100,3090,3123
27,100,3135,3124
28,100,3090,3122
29,100,3255,3127
30,100,3136,3127
31,100,3060,3125
32,100,3106,3124
33,100,3120,3124
34,100,3180,3126
35,100,3061,3124
36,100,3150,3125
37,100,3061,3123
38,100,3120,3123
39,100,3240,3126
40,100,3136,3126
41,100,3165,3127
42,100,3106,3127
43,100,3135,3127
44,100,3210,3129
45,100,3105,3128
46,100,3195,3130
47,100,3106,3129
48,100,3135,3129
49,100,3120,3129
50,100,3135,3129
51,100,3150,3129
52,100,3151,3130
53,100,3180,3131
54,100,3136,3131
55,100,3105,3130
56,100,3045,3129
57,100,3091,3128
58,100,3135,3128
59,100,3181,3129
60,100,3120,3129
61,100,3150,3129
62,100,3121,3129
63,100,3150,3130
64,100,3166,3130
65,100,3165,3131
66,100,3105,3130
67,100,3165,3131
68,100,3330,3134
69,100,3391,3137
70,100,3435,3142
71,100,3316,3144
72,100,3285,3146
73,100,3330,3149
74,100,3391,3152
75,100,3240,3153
76,100,3121,3153
77,100,3105,3152
78,100,3270,3153
79,100,3465,3157
80,100,3660,3164
81,100,3586,3169
82,100,3345,3171
83,100,3256,3172
84,100,3360,3174
85,100,3390,3177
86,100,3510,3181
87,100,3270,3182
88,100,3301,3183
89,100,3315,3184
90,100,3616,3189
91,100,3330,3191
92,100,3075,3190
93,100,3196,3190
94,100,3165,3189
95,100,3091,3188
96,100,3105,3187
97,100,3090,3186
98,100,3135,3186
99,100,3165,3186
100,100,3256,3186
101,100,3255,3187
102,100,3121,3186
103,100,3195,3186
104,100,3225,3187
105,100,3166,3187
106,100,3090,3186
107,100,3091,3185
108,100,3075,3184
109,100,3060,3183
110,100,3061,3182
111,100,3060,3180
112,100,3076,3180
113,100,3075,3179
114,100,3135,3178
115,100,3151,3178
116,100,3060,3177
117,100,3121,3176
118,100,3060,3175
119,100,3120,3175
120,100,3075,3174
121,100,3135,3174
122,100,3181,3174
123,100,3120,3173
124,100,3076,3173
125,100,3060,3172
126,100,3060,3171
127,100,3061,3170
128,100,3090,3169
129,100,3091,3169
130,100,3120,3168
131,100,3105,3168
132,100,3091,3167
133,100,3150,3167
134,100,3166,3167
135,100,3105,3167
136,100,3105,3166
137,100,3046,3165
138,100,3075,3165
139,100,3046,3164
140,100,3045,3163
141,100,3090,3162
142,100,3061,3162
143,100,3090,3161
144,100,3046,3160
145,100,3105,3160
146,100,3075,3159
147,100,3091,3159
148,100,3090,3159
149,100,3106,3158
150,100,3135,3158
151,100,3120,3158
152,100,3180,3158
153,100,3105,3158
154,100,3091,3157
155,100,3045,3156
156,100,3166,3156
157,100,3060,3156
158,100,3045,3155
159,100,3076,3155
160,100,3045,3154
161,100,3046,3153
162,100,3060,3153
163,100,3120,3152
164,100,3136,3152
165,100,3105,3152
166,100,3076,3152
167,100,3120,3151
168,100,3120,3151
169,100,3166,3151
170,100,3135,3151
171,100,3181,3151
172,100,3105,3151
173,100,3075,3151
174,100,3106,3150
175,100,3060,3150
176,100,3121,3150
177,100,3045,3149
178,100,3090,3149
179,100,3046,3148
180,100,3060,3148
181,100,3061,3147
182,100,3105,3147
183,100,3090,3147
184,100,3120,3147
185,100,3135,3146
186,100,3106,3146
187,100,3165,3146
188,100,3106,3146
189,100,3180,3146
190,100,3105,3146
191,100,3151,3146
192,100,3135,3146
193,100,3256,3147
194,100,3135,3147
195,100,3210,3147
196,100,3196,3147
197,100,3240,3148
198,100,3076,3147
199,100,3105,3147
200,100,3060,3147
201,100,3106,3146
202,100,3045,3146
203,100,3166,3146
204,100,3135,3146
205,100,3225,3146
206,100,3180,3146
207,100,3105,3146
208,100,3121,3146
209,100,3060,3146
210,100,3091,3145
211,100,3120,3145
212,100,3195,3146
213,100,3031,3145
214,100,3060,3145
215,100,3091,3144
216,100,3090,3144
217,100,3105,3144
218,100,3121,3144
219,100,3120,3144
220,100,3211,3144
221,100,3075,3144
222,100,3150,3144
223,100,3121,3144
224,100,3120,3144
225,100,3091,3143
226,100,3240,3144
227,100,3165,3144
228,100,3060,3143
229,100,3135,3143
230,100,3046,3143
231,100,3195,3143
232,100,3240,3144
233,100,3195,3144
234,100,3180,3144
235,100,3196,3144
236,100,3315,3145
237,100,3151,3145
238,100,3180,3145
239,100,3255,3146
240,100,3196,3146
241,100,3180,3146
242,100,3181,3146
243,100,3165,3146
244,100,3060,3146
245,100,3150,3146
246,100,3150,3146
247,100,3121,3146
248,100,3285,3146
249,100,3121,3146
250,100,3210,3146
251,100,3165,3146
252,100,3211,3147
253,100,3240,3147
254,100,3256,3148
255,100,3285,3148
256,100,3285,3149
257,100,3316,3149
258,100,3375,3150
259,100,3286,3151
260,100,3225,3151
261,100,3406,3152
262,100,3195,3152
263,100,3150,3152
264,100,3136,3152
265,100,3180,3152
266,100,3196,3152
267,100,3165,3152
268,100,3285,3153
269,100,3226,3153
270,100,3165,3153
271,100,3241,3153
272,100,3300,3154
273,100,3345,3155
274,100,3240,3155
275,100,3330,3156
276,100,3286,3156
277,100,3345,3157
278,100,3136,3157
279,100,3285,3157
280,100,3180,3157
281,100,3151,3157
282,100,3195,3157
283,100,3226,3158
284,100,3165,3158
285,100,3240,3158
286,100,3240,3158
287,100,3210,3158
288,100,3361,3159
289,100,3300,3160
290,100,3331,3160
291,100,3255,3160
292,100,3285,3161
293,100,3226,3161
294,100,3300,3162
295,100,3271,3162
